| 原始标签 | 名称 | 描述 | 外部链接 |
| -------- | ---- | ---- | -------- |
|  | == 身体 == |  |  |
|  | === 身体 > 生物 === |  |  |
| yukkuri | 油库里 | 油库里是ゆっくり（日语：慢慢来）的中文谐音。<br>ゆっくり这种形象其最早于 2008 年初出现在 2ch 上，其创造者为一个失败的 ASCII 艺术爱好者。当时他/她本来希望用 ASCII 字符拼出灵梦和魔理沙的头像，但不幸他/她失败了，头像看起来和这里所提到的ゆっくり很一致。而另一个匿名用户觉得这头像颇有幽默感，于是便做了第一幅有关ゆっくり的图片。<br>一般来说，ゆっくり的外形大致上是一个硕大而看上去有点扭曲的脑袋，往往和`touhou project`中的人物存在对应。<br>![ゆっくり](https://ehgt.org/ee/6a/ee6ac5d74438aa76077a9c201cd740911851092f-673521-1060-1500-jpg_l.jpg) | [萌娘百科](https://zh.moegirl.org/油库里#) (\*\*) |
|  | ==== 身体 > 生物 > 动物 ==== |  |  |
| animal on animal | 兽兽 | 动物间性交。 |  |
|  | == 头部 == |  |  |
|  | === 头部 > 思维 === |  |  |
| body swap | 换身 | 灵魂互换，该标签不应与`possession`混淆也不能标为`gender bender`。 |  |
|  | == 下半身 == |  |  |
|  | === 下半身 > 阴部 === |  |  |
|  | ==== 下半身 > 阴部 > 阴茎 ==== |  |  |
| frottage | 阴茎摩擦 | 两根及以上的阴茎相互摩擦。<br>![例](# "https://ehgt.org/72/a9/72a9f8c2fc1346ec17bfbffc40cc23373e4f1e11-1193994-1412-1000-jpg_l.jpg") |  |
|  | == 多人活动 == |  |  |
| ffm threesome | 女男女3P | ♀♂♀，2 女 1 男 3P。需要`group`标签。 |  |
