| 原始标签 | 名称 | 描述 | 外部链接 |
| -------- | ---- | ---- | -------- |
| artist | 艺术家 | 绘画作者 / Coser。 | [数据库页面](https://github.com/EhTagTranslation/Database/blob/master/database/artist.md) |
| female | 女性 | 女性角色相关的恋物标签。 | [数据库页面](https://github.com/EhTagTranslation/Database/blob/master/database/female.md) |
| male | 男性 | 男性角色相关的恋物标签。 | [数据库页面](https://github.com/EhTagTranslation/Database/blob/master/database/male.md) |
| parody | 原作 | 同人作品模仿的原始作品。 | [数据库页面](https://github.com/EhTagTranslation/Database/blob/master/database/parody.md) |
| character | 角色 | 作品中出现的角色。 | [数据库页面](https://github.com/EhTagTranslation/Database/blob/master/database/character.md) |
| group | 团队 | 制作社团或公司。 | [数据库页面](https://github.com/EhTagTranslation/Database/blob/master/database/group.md) |
| language | 语言 | 作品的语言。 | [数据库页面](https://github.com/EhTagTranslation/Database/blob/master/database/language.md) |
| reclass | 重新分类 | 用于分类出错的画廊，当某个重新分类标签权重达到 100，将移动画廊至对应分类。 | [数据库页面](https://github.com/EhTagTranslation/Database/blob/master/database/reclass.md) |
| misc | 杂项 | 两性/中性的恋物标签或没有具体分类的标签，可以在[论坛](https://forums.e-hentai.org/index.php?showtopic=199295)发帖请求管理员添加新的标签或将标签移动到正确分类。 | [数据库页面](https://github.com/EhTagTranslation/Database/blob/master/database/misc.md) |
